Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","FSM","Micronésie (États fédérés de)","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","103.543","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","MCO","Monaco","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","34.872","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","MNG","Mongolie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","2631.898","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","MNE","Monténégro","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","621.32","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","MSR","Montserrat","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","4.901","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","MOZ","Mozambique","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","22276.596","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","MMR","Myanmar","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","49929.642","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","NAM","Namibie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","2043.394","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","NRU","Nauru","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","9.891","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","NPL","Népal","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","26666.576","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","NIC","Nicaragua","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","5667.432","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","NER","Niger","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","15250.908","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","NGA","Nigéria","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","150269.623","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","NIU","Nioué","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","1.635","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","NOR","Norvège","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","4771.019","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","NCL","Nouvelle-Calédonie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","246.695","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","NZL","Nouvelle-Zélande","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","4278.155","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","OMN","Oman","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","2750.963","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","UGA","Ouganda","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","30431.736","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","UZB","Ouzbékistan","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","27626.982","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","PAK","Pakistan","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","171648.986","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","PLW","Palaos","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","18.704","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","PSE","Palestine","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","3856.679","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","PAN","Panama","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","3516.204","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","PNG","Papouasie-Nouvelle-Guinée","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","6976.201","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","PRY","Paraguay","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","6081.296","X","Sources internationales sûres",""
